,title,1,2,3,4
0,(나알노) Bebe Rexha - Sabotage [가사해석].3gpp.mp3,8.0,2.0,5.0,0.0
1,(심규선)아라리Arari【COVER by Guriri】.3gpp.mp3,9.0,5.0,4.0,3.0
2,(여자)아이들((G)I-DLE) - MY BAG (Choreography Practice Video).3gpp.mp3,8.0,1.0,4.0,3.0
3,(여자)아이들((G)I-DLE) - Nxde Official Music Video.3gpp.mp3,9.0,3.0,3.0,5.0
4,(이어폰좌우음향자막)밝지 않는 밤의 릴리&너의 밤이 밝아질 때까지 featCereus.3gpp.mp3,9.0,5.0,4.0,4.0
5,(자막) sekainoowari  - 환상의 생명.3gpp.mp3,8.0,5.0,0.0,4.0
6,10cm - 이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)  가사.3gpp.mp3,10.0,3.0,3.0,0.0
7,10대를 위한 사랑노래 (零几年听的情歌 령기년청적정가) - 챠오챠오biu (乔乔biu)  가사해석 번역 병음 발음 [중국노래  틱톡].3gpp.mp3,9.0,3.0,0.0,4.0
8,180310 은지원 (EUN JI WON) PRIVATE STAGE [1 THE LAND] - 사랑했나봐.3gpp.mp3,8.0,1.0,4.0,5.0
9,191001 경희대를 뒤집어 놓은 윤하의 추억 소환 - 비밀번호 486 + 혜성.3gpp.mp3,7.0,4.0,1.0,5.0
10,2018提莫直播室最好聽5首精選歌曲《煙火裏的塵埃，愛你，哼，佛係少女，卡路里》.3gpp.mp3,9.0,5.0,5.0,5.0
11,2021년 차트를 휩쓸었던 팝송  The Kid LAROI Justin Bieber - Stay [가사해석자막lyrics].3gpp.mp3,10.0,3.0,3.0,1.0
12,5 Seconds Of Summer - Lie To Me (Lyrics).3gpp.mp3,10.0,0.0,0.0,3.0
13,7 - XMASwu.3gpp.mp3,7.0,0.0,2.0,4.0
14,98 쓰레기통 (feat VALHASH) [Official Lyrics Video].3gpp.mp3,7.0,5.0,0.0,5.0
15,A Cruel Angels Thesis (残酷な天使のテーゼ)┃Cover by Raon Lee.3gpp.mp3,9.0,2.0,1.0,3.0
16,AAA  「さよならの前に」Music Video.3gpp.mp3,9.0,1.0,1.0,5.0
17,AAA - 사랑소리와 비 하늘(恋音と雨空)(한글자막).3gpp.mp3,10.0,1.0,0.0,2.0
18,actually (걘 아니야).3gpp.mp3,9.0,4.0,3.0,1.0
19,AJR - Worlds Smallest Violin (Official Video).3gpp.mp3,10.0,3.0,0.0,0.0
20,AKMU - 뱃노래 (Chantey) (Suhyun 수현 Solo) AUDIO.3gpp.mp3,9.0,5.0,5.0,5.0
21,AKMUAkdong Musician (악동뮤지션) CHOCOLADY Lyrics [Colour CodedHANROMENG].3gpp.mp3,10.0,5.0,4.0,0.0
22,Alaina Castillo - tonight (Official Audio).3gpp.mp3,7.0,5.0,0.0,2.0
23,Alan Walker & K-391 - Ignite (Lyrics) ft Julie Bergan & Seungri.3gpp.mp3,10.0,2.0,3.0,5.0
24,Alan Walker - All Falls Down (feat Noah Cyrus with Digital Farm Animals).3gpp.mp3,7.0,5.0,3.0,4.0
25,Alan Walker - Sing Me To Sleep.3gpp.mp3,10.0,3.0,1.0,5.0
26,Alan Walker Sabrina Carpenter & Farruko  - On My Way.3gpp.mp3,7.0,3.0,0.0,3.0
27,Alan Walker Sabrina Carpenter & Farruko - On My Way (Ryan Enzed Remix).3gpp.mp3,7.0,3.0,3.0,0.0
28,Alan Walker ‒ Lost Control (Lyrics) ft Sorana.3gpp.mp3,8.0,1.0,0.0,3.0
29,Allie X - Thats So Us (Official Audio).3gpp.mp3,9.0,2.0,0.0,0.0
30,Alok Felix Jaehn & The Vamps - All The Lies (Lyrics).3gpp.mp3,7.0,5.0,3.0,4.0
31,Alok x Ella Eyre x Kenny Dope feat Never Dull – Deep Down (Lyric Video).3gpp.mp3,9.0,0.0,2.0,4.0
32,Andy Grammer - I Found You (Official Audio).3gpp.mp3,7.0,4.0,0.0,0.0
33,Angel With A Shotgun by The Cab [Lyrics].3gpp.mp3,9.0,5.0,3.0,4.0
